model,public_f1,threshold,accuracy,precision,recall,positive_predictions
blend__logreg_c2_0.60__tabicl_n4_0.20__xgboost_0.20__lightgbm_0.00,0.5579584775086506,0.43999999999999995,0.6593333333333333,0.4523141654978962,0.7279909706546276,1426
blend__logreg_c2_0.30__tabicl_n4_0.60__lightgbm_0.10,0.5579399141630901,0.35999999999999993,0.6566666666666666,0.45013850415512463,0.7336343115124153,1444
blend__logreg_c2_0.30__tabicl_n4_0.60__xgboost_0.00__lightgbm_0.10,0.5579399141630901,0.35999999999999993,0.6566666666666666,0.45013850415512463,0.7336343115124153,1444
blend__logreg_c2_0.30__tabicl_n4_0.30__xgboost_0.20__lightgbm_0.20,0.5579133510167993,0.43499999999999994,0.6666666666666666,0.4585755813953488,0.7121896162528216,1376
blend__logreg_c2_0.10__tabicl_n4_0.40__xgboost_0.10__lightgbm_0.40,0.5579133510167993,0.4149999999999999,0.6666666666666666,0.4585755813953488,0.7121896162528216,1376
blend__logreg_c2_0.20__tabicl_n4_0.80,0.5577323884952063,0.30999999999999994,0.6463333333333333,0.44216787838731,0.755079006772009,1513
blend__logreg_c2_0.20__tabicl_n4_0.80__xgboost_0.00,0.5577323884952063,0.30999999999999994,0.6463333333333333,0.44216787838731,0.755079006772009,1513
blend__logreg_c2_0.20__tabicl_n4_0.80__xgboost_0.00__lightgbm_0.00,0.5577323884952063,0.30999999999999994,0.6463333333333333,0.44216787838731,0.755079006772009,1513
tabicl_n4,0.5577323884952063,0.27499999999999997,0.6463333333333333,0.44216787838731,0.755079006772009,1513
blend__logreg_c2_0.20__tabicl_n4_0.80__lightgbm_0.00,0.5577323884952063,0.30999999999999994,0.6463333333333333,0.44216787838731,0.755079006772009,1513
blend__logreg_c2_0.50__tabicl_n4_0.30__xgboost_0.20,0.5576923076923077,0.42999999999999994,0.6626666666666666,0.4550641940085592,0.7200902934537246,1402
blend__logreg_c2_0.50__tabicl_n4_0.30__xgboost_0.20__lightgbm_0.00,0.5576923076923077,0.42999999999999994,0.6626666666666666,0.4550641940085592,0.7200902934537246,1402
blend__logreg_c2_0.40__tabicl_n4_0.50__lightgbm_0.10,0.5576679340937896,0.36999999999999994,0.651,0.44564483457123566,0.744920993227991,1481
blend__logreg_c2_0.40__tabicl_n4_0.50__xgboost_0.00__lightgbm_0.10,0.5576679340937896,0.36999999999999994,0.651,0.44564483457123566,0.744920993227991,1481
blend__logreg_c2_0.30__tabicl_n4_0.70,0.5576430401366353,0.33999999999999997,0.6546666666666666,0.448489010989011,0.7370203160270881,1456
blend__logreg_c2_0.30__tabicl_n4_0.70__xgboost_0.00__lightgbm_0.00,0.5576430401366353,0.33999999999999997,0.6546666666666666,0.448489010989011,0.7370203160270881,1456
blend__logreg_c2_0.30__tabicl_n4_0.70__xgboost_0.00,0.5576430401366353,0.33999999999999997,0.6546666666666666,0.448489010989011,0.7370203160270881,1456
blend__logreg_c2_0.30__tabicl_n4_0.70__lightgbm_0.00,0.5576430401366353,0.33999999999999997,0.6546666666666666,0.448489010989011,0.7370203160270881,1456
blend__logreg_c2_0.00__tabicl_n4_0.50__xgboost_0.00__lightgbm_0.50,0.5575221238938053,0.39499999999999996,0.6666666666666666,0.4585152838427948,0.7110609480812641,1374
blend__tabicl_n4_0.50__lightgbm_0.50,0.5575221238938053,0.39499999999999996,0.6666666666666666,0.4585152838427948,0.7110609480812641,1374
blend__tabicl_n4_0.50__xgboost_0.00__lightgbm_0.50,0.5575221238938053,0.39499999999999996,0.6666666666666666,0.4585152838427948,0.7110609480812641,1374
blend__logreg_c2_0.00__tabicl_n4_0.50__lightgbm_0.50,0.5575221238938053,0.39499999999999996,0.6666666666666666,0.4585152838427948,0.7110609480812641,1374
blend__logreg_c2_0.50__tabicl_n4_0.30__xgboost_0.10__lightgbm_0.10,0.5575032064985036,0.4149999999999999,0.655,0.44872677219545765,0.7358916478555305,1453
blend__logreg_c2_0.60__xgboost_0.00__lightgbm_0.40,0.5574660633484163,0.49999999999999994,0.674,0.4652567975830816,0.6952595936794582,1324
blend__logreg_c2_0.60__tabicl_n4_0.00__xgboost_0.00__lightgbm_0.40,0.5574660633484163,0.49999999999999994,0.674,0.4652567975830816,0.6952595936794582,1324
blend__logreg_c2_0.60__lightgbm_0.40,0.5574660633484163,0.49999999999999994,0.674,0.4652567975830816,0.6952595936794582,1324
blend__logreg_c2_0.60__tabicl_n4_0.00__lightgbm_0.40,0.5574660633484163,0.49999999999999994,0.674,0.4652567975830816,0.6952595936794582,1324
blend__logreg_c2_0.60__tabicl_n4_0.20__xgboost_0.10__lightgbm_0.10,0.5574614065180102,0.43499999999999994,0.656,0.44951590594744123,0.7336343115124153,1446
blend__logreg_c2_0.20__tabicl_n4_0.50__xgboost_0.00__lightgbm_0.30,0.5574486675404107,0.38999999999999996,0.6623333333333333,0.4547398431931575,0.7200902934537246,1403
blend__logreg_c2_0.20__tabicl_n4_0.50__lightgbm_0.30,0.5574486675404107,0.38999999999999996,0.6623333333333333,0.4547398431931575,0.7200902934537246,1403
blend__logreg_c2_0.80__tabicl_n4_0.00__xgboost_0.20,0.5573770491803278,0.4749999999999999,0.658,0.4511173184357542,0.7291196388261851,1432
blend__logreg_c2_0.80__tabicl_n4_0.00__xgboost_0.20__lightgbm_0.00,0.5573770491803278,0.4749999999999999,0.658,0.4511173184357542,0.7291196388261851,1432
blend__logreg_c2_0.80__xgboost_0.20,0.5573770491803278,0.4749999999999999,0.658,0.4511173184357542,0.7291196388261851,1432
blend__logreg_c2_0.80__xgboost_0.20__lightgbm_0.00,0.5573770491803278,0.4749999999999999,0.658,0.4511173184357542,0.7291196388261851,1432
blend__logreg_c2_0.30__tabicl_n4_0.30__xgboost_0.00__lightgbm_0.40,0.5572893446277307,0.43499999999999994,0.669,0.46057479734708917,0.7054176072234764,1357
blend__logreg_c2_0.30__tabicl_n4_0.30__lightgbm_0.40,0.5572893446277307,0.43499999999999994,0.669,0.46057479734708917,0.7054176072234764,1357
blend__logreg_c2_0.40__tabicl_n4_0.40__lightgbm_0.20,0.5572619569986836,0.4099999999999999,0.6636666666666666,0.45585068198133527,0.7167042889390519,1393
blend__logreg_c2_0.40__tabicl_n4_0.40__xgboost_0.00__lightgbm_0.20,0.5572619569986836,0.4099999999999999,0.6636666666666666,0.45585068198133527,0.7167042889390519,1393
blend__logreg_c2_0.70__tabicl_n4_0.10__lightgbm_0.20,0.5572587917042381,0.4799999999999999,0.6726666666666666,0.46396396396396394,0.6975169300225733,1332
blend__logreg_c2_0.70__tabicl_n4_0.10__xgboost_0.00__lightgbm_0.20,0.5572587917042381,0.4799999999999999,0.6726666666666666,0.46396396396396394,0.6975169300225733,1332
blend__logreg_c2_0.30__tabicl_n4_0.50__xgboost_0.10__lightgbm_0.10,0.5572096980008507,0.37499999999999994,0.653,0.447098976109215,0.7392776523702032,1465
blend__logreg_c2_0.70__xgboost_0.00__lightgbm_0.30,0.5572005383580081,0.49499999999999994,0.671,0.462397617274758,0.7009029345372461,1343
blend__logreg_c2_0.70__tabicl_n4_0.00__lightgbm_0.30,0.5572005383580081,0.49499999999999994,0.671,0.462397617274758,0.7009029345372461,1343
blend__logreg_c2_0.70__tabicl_n4_0.00__xgboost_0.00__lightgbm_0.30,0.5572005383580081,0.49499999999999994,0.671,0.462397617274758,0.7009029345372461,1343
blend__logreg_c2_0.70__lightgbm_0.30,0.5572005383580081,0.49499999999999994,0.671,0.462397617274758,0.7009029345372461,1343
blend__logreg_c2_0.10__tabicl_n4_0.70__xgboost_0.00__lightgbm_0.20,0.5571971295905446,0.33499999999999996,0.6503333333333333,0.445043830074174,0.744920993227991,1483
blend__logreg_c2_0.10__tabicl_n4_0.70__lightgbm_0.20,0.5571971295905446,0.33499999999999996,0.6503333333333333,0.445043830074174,0.744920993227991,1483
blend__logreg_c2_0.10__tabicl_n4_0.50__lightgbm_0.40,0.5571873609256787,0.3999999999999999,0.6683333333333333,0.4599559147685525,0.7065462753950339,1361
blend__logreg_c2_0.10__tabicl_n4_0.50__xgboost_0.00__lightgbm_0.40,0.5571873609256787,0.3999999999999999,0.6683333333333333,0.4599559147685525,0.7065462753950339,1361
blend__logreg_c2_0.20__tabicl_n4_0.20__xgboost_0.10__lightgbm_0.50,0.5571743929359824,0.4499999999999999,0.6656666666666666,0.45757795503988397,0.7121896162528216,1379
blend__logreg_c2_0.20__tabicl_n4_0.70__xgboost_0.00__lightgbm_0.10,0.5571549534292972,0.33499999999999996,0.6513333333333333,0.44579945799457993,0.7426636568848759,1476
blend__logreg_c2_0.20__tabicl_n4_0.70__lightgbm_0.10,0.5571549534292972,0.33499999999999996,0.6513333333333333,0.44579945799457993,0.7426636568848759,1476
blend__logreg_c2_0.00__tabicl_n4_0.60__xgboost_0.20__lightgbm_0.20,0.5571177504393673,0.37499999999999994,0.664,0.45611510791366905,0.7155756207674944,1390
blend__tabicl_n4_0.60__xgboost_0.20__lightgbm_0.20,0.5571177504393673,0.37499999999999994,0.664,0.45611510791366905,0.7155756207674944,1390
blend__logreg_c2_0.10__tabicl_n4_0.30__xgboost_0.10__lightgbm_0.50,0.5569731632204136,0.42999999999999994,0.6643333333333333,0.4563806777217015,0.7144469525959368,1387
blend__logreg_c2_0.50__tabicl_n4_0.20__xgboost_0.20__lightgbm_0.10,0.5569727891156463,0.42999999999999994,0.6526666666666666,0.44679399727148705,0.7392776523702032,1466
blend__logreg_c2_0.60__tabicl_n4_0.10__xgboost_0.00__lightgbm_0.30,0.5569506726457399,0.4749999999999999,0.6706666666666666,0.46205357142857145,0.7009029345372461,1344
blend__logreg_c2_0.60__tabicl_n4_0.10__lightgbm_0.30,0.5569506726457399,0.4749999999999999,0.6706666666666666,0.46205357142857145,0.7009029345372461,1344
blend__tabicl_n4_0.90__lightgbm_0.10,0.5569191705459162,0.3,0.651,0.44549763033175355,0.7426636568848759,1477
blend__tabicl_n4_0.90__xgboost_0.00__lightgbm_0.10,0.5569191705459162,0.3,0.651,0.44549763033175355,0.7426636568848759,1477
blend__logreg_c2_0.00__tabicl_n4_0.90__xgboost_0.00__lightgbm_0.10,0.5569191705459162,0.3,0.651,0.44549763033175355,0.7426636568848759,1477
blend__logreg_c2_0.00__tabicl_n4_0.90__lightgbm_0.10,0.5569191705459162,0.3,0.651,0.44549763033175355,0.7426636568848759,1477
blend__logreg_c2_0.30__tabicl_n4_0.20__xgboost_0.10__lightgbm_0.40,0.5569176882661997,0.44499999999999995,0.6626666666666666,0.45493562231759654,0.7178329571106095,1398
blend__logreg_c2_0.10__tabicl_n4_0.60__xgboost_0.00__lightgbm_0.30,0.5568627450980392,0.36999999999999994,0.661,0.45351312987934705,0.7212189616252822,1409
blend__logreg_c2_0.10__tabicl_n4_0.60__lightgbm_0.30,0.5568627450980392,0.36999999999999994,0.661,0.45351312987934705,0.7212189616252822,1409
blend__logreg_c2_0.50__tabicl_n4_0.10__xgboost_0.10__lightgbm_0.30,0.5568487018800358,0.4749999999999999,0.67,0.46142433234421365,0.7020316027088036,1348
blend__logreg_c2_0.20__tabicl_n4_0.70__xgboost_0.10,0.5568425568425568,0.3449999999999999,0.6556666666666666,0.4491349480968858,0.7325056433408578,1445
blend__logreg_c2_0.20__tabicl_n4_0.70__xgboost_0.10__lightgbm_0.00,0.5568425568425568,0.3449999999999999,0.6556666666666666,0.4491349480968858,0.7325056433408578,1445
blend__logreg_c2_0.10__tabicl_n4_0.40__xgboost_0.40__lightgbm_0.10,0.5568383658969804,0.41999999999999993,0.6673333333333333,0.45900439238653,0.7076749435665914,1366
blend__logreg_c2_0.00__tabicl_n4_0.80__xgboost_0.00__lightgbm_0.20,0.5568039950062422,0.30999999999999994,0.645,0.44100197758734344,0.755079006772009,1517
blend__tabicl_n4_0.80__xgboost_0.00__lightgbm_0.20,0.5568039950062422,0.30999999999999994,0.645,0.44100197758734344,0.755079006772009,1517
blend__logreg_c2_0.00__tabicl_n4_0.80__lightgbm_0.20,0.5568039950062422,0.30999999999999994,0.645,0.44100197758734344,0.755079006772009,1517
blend__tabicl_n4_0.80__lightgbm_0.20,0.5568039950062422,0.30999999999999994,0.645,0.44100197758734344,0.755079006772009,1517
blend__tabicl_n4_0.50__xgboost_0.10__lightgbm_0.40,0.556783031374282,0.39499999999999996,0.6656666666666666,0.45751633986928103,0.7110609480812641,1377
blend__logreg_c2_0.00__tabicl_n4_0.50__xgboost_0.10__lightgbm_0.40,0.556783031374282,0.39499999999999996,0.6656666666666666,0.45751633986928103,0.7110609480812641,1377
blend__logreg_c2_0.20__tabicl_n4_0.40__xgboost_0.10__lightgbm_0.30,0.5567470956210903,0.41999999999999993,0.6693333333333333,0.46079881656804733,0.7031602708803611,1352
blend__tabicl_n4_0.50__xgboost_0.30__lightgbm_0.20,0.5567190226876091,0.38999999999999996,0.6613333333333333,0.45376955903271693,0.7200902934537246,1406
blend__logreg_c2_0.00__tabicl_n4_0.50__xgboost_0.30__lightgbm_0.20,0.5567190226876091,0.38999999999999996,0.6613333333333333,0.45376955903271693,0.7200902934537246,1406
blend__logreg_c2_0.30__tabicl_n4_0.40__xgboost_0.10__lightgbm_0.20,0.556682840758712,0.4149999999999999,0.665,0.4569152787834902,0.7121896162528216,1381
blend__logreg_c2_0.10__tabicl_n4_0.50__xgboost_0.20__lightgbm_0.20,0.556682840758712,0.39499999999999996,0.665,0.4569152787834902,0.7121896162528216,1381
blend__logreg_c2_0.10__tabicl_n4_0.40__xgboost_0.20__lightgbm_0.30,0.5566739606126915,0.4099999999999999,0.6623333333333333,0.45461043602573264,0.7178329571106095,1399
blend__logreg_c2_0.60__tabicl_n4_0.20__xgboost_0.00__lightgbm_0.20,0.5566458519179304,0.4549999999999999,0.6686666666666666,0.46017699115044247,0.7042889390519187,1356
blend__logreg_c2_0.60__tabicl_n4_0.20__lightgbm_0.20,0.5566458519179304,0.4549999999999999,0.6686666666666666,0.46017699115044247,0.7042889390519187,1356
blend__logreg_c2_0.30__tabicl_n4_0.10__xgboost_0.10__lightgbm_0.50,0.5566202090592335,0.4599999999999999,0.6606666666666666,0.4531914893617021,0.7212189616252822,1410
blend__logreg_c2_0.20__tabicl_n4_0.30__xgboost_0.10__lightgbm_0.40,0.5565912117177098,0.43499999999999994,0.667,0.4586686174103877,0.7076749435665914,1367
blend__logreg_c2_0.60__tabicl_n4_0.00__xgboost_0.10__lightgbm_0.30,0.5565529622980251,0.49499999999999994,0.6706666666666666,0.46199701937406856,0.6997742663656885,1342
